filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
14_5_0,52488.369736,brake,14,1,33,"['tester', 'bra0']","[-19.44109970331192, 0.0]","[0.17327880859375, 0.0]","[4.477998127072073, 24.428123372722517]","[-1.496685684308087, 0.27923493257907744]",1.0831138723106748,0,-0.01555549,-0.99899522,-0.07777778,0.0413358062505722,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9744850954031228,19.44187190626516,0.17327880859375,-19.950125245650444,0.2640585080438163
14_5_0,52488.400536,brake,14,1,33,"['tester', 'bra0']","[-19.404408037662506, 0.20500046014785767]","[0.1729736328125, 0.0]","[4.315744564911439, 24.458340927656614]","[-1.4633257770404264, 0.2725248460827251]",1.0831138723106726,0,-0.01555549,-0.99899522,-0.07777778,0.0513358078896999,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9735293377609964,19.61017137894633,0.1729736328125,-20.142596362745174,0.0901876049691587
14_5_0,52488.432101,brake,14,1,33,"['tester', 'bra0']","[-19.36831146478653, 0.41469234228134155]","[0.17266845703125, 0.0]","[4.153345978377933, 24.4885275834774]","[-1.4291372876636486, 0.26564809672436596]",1.0831138723106704,0,-0.01555549,-0.99899522,-0.07777778,0.0413358062505722,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9728461830951576,19.783757328336684,0.17266845703125,-20.335181605099464,-0.0880018448696687
14_5_0,52488.467307,brake,14,1,33,"['tester', 'bra0']","[-19.333551943302155, 0.6248616576194763]","[0.17236328125, 0.0]","[3.995369336009197, 24.52528028762786]","[-1.2464466470884206, 0.2899813806198482]",5.189190495165103,0,-0.01555549,-0.99899522,-0.07777778,0.0581504926085472,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9721626970499851,19.95915786214881,0.17236328125,-20.529910951618664,0.1326690396661391
14_5_0,52488.494693,brake,14,1,33,"['tester', 'bra0']","[-19.299814760684967, 0.8369951844215393]","[0.1719970703125, 0.0]","[3.8494727244073843, 24.56516066228214]","[-1.4798377475255786, 0.40450894061839465]",-8.522277821652533,0,-0.01555549,-0.99899522,-0.07777778,0.0481504946947097,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9720560574911018,20.13754448182639,0.1719970703125,-20.715687937874755,-0.1014305556900938
14_5_0,52488.5259,brake,14,1,33,"['tester', 'bra0']","[-19.26252990961075, 1.0811546444892883]","[0.17169189453125, 0.0]","[3.6919624493803784, 24.54549341640651]","[-1.402020513800605, -0.17506084706449437]",2.493582648924485,0,-0.01555549,-0.99899522,-0.07777778,0.0581504926085472,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9755510750801736,20.344409043847307,0.17169189453125,-20.85353096702613,0.089011349962785
14_5_0,52488.561559,brake,14,1,33,"['tester', 'bra0']","[-19.235487520694733, 1.2649791836738586]","[0.17144775390625, 0.0]","[3.5513265618281467, 24.475064180596743]","[-1.0955305622404687, -0.5486322278599415]",8.595023740185058,0,-0.01555549,-0.99899522,-0.07777778,0.0481504946947097,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9797707789061392,20.50118361044661,0.17144775390625,-20.923737618768595,-0.0778983481928186
14_5_0,52488.591001,brake,14,1,33,"['tester', 'bra0']","[-19.201506197452545, 1.5041874051094055]","[0.171142578125, 0.0]","[3.4103175713792937, 24.490664767911582]","[-1.3303839418095669, 0.14718757137679922]",-7.976814740038554,0,-0.01555549,-0.99899522,-0.07777778,0.0649175271391868,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9822273518326128,20.70640087859844,0.171142578125,-21.080347196532287,0.1581926843453531
14_5_0,52488.621125,brake,14,1,33,"['tester', 'bra0']","[-19.172121584415436, 1.7198264002799988]","[0.17083740234375, 0.0]","[3.2872646279437263, 24.581130321622155]","[-1.1346890578864242, 0.8341960057605023]",6.496311377692264,0,-0.01555549,-0.99899522,-0.07777778,0.0716375708580017,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9811251881286022,20.89264645786309,0.17083740234375,-21.293865693678427,0.0619664988367406
14_5_0,52488.653687,brake,14,1,33,"['tester', 'bra0']","[-19.14537864923477, 1.9232050776481628]","[0.17059326171875, 0.0]","[3.201249515470909, 24.590770825327464]","[-0.7337720900978439, 0.08224057784816231]",12.312418395202156,0,-0.01555549,-0.99899522,-0.07777778,0.0716375708580017,0.0,0.0016234153881669,"[[False, False, False, False]]",-0.9849955696378428,21.069274366185947,0.17059326171875,-21.389521309856555,0.0
