filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
17_14_0,56591.300528,brake,17,3,40,"['tester', 'bra0']","[-17.93709695339203, 0.0]","[0.52935791015625, 0.0]","[46.24670589150319, 44.33265974673484]","[3.3332986655939365, 0.28987114801123615]",-11.243886182651634,0,-0.10444438,-0.99865292,0.1,0.7801521420478821,0.0,0.0002094726660288,"[[True, False, True, True]]",9.371298075764468,17.944906433649372,0.52935791015625,1.9140461447683488,-0.2051255164190539
17_14_0,56591.334299,brake,17,3,40,"['tester', 'bra0']","[-17.508031249046326, 0.40886032581329346]","[0.533935546875, 0.0]","[46.60578932059228, 44.25168021523972]","[2.9535813852953035, -0.6660837494525081]",-11.243886182651632,0,-0.10444438,-0.99865292,0.1,0.7701521515846252,0.0,-0.0006284181145019,"[[True, False, True, True]]",7.610901098050997,17.924845630395044,0.533935546875,2.354109105352556,-0.0822532684405159
17_14_0,56591.375456,brake,17,3,40,"['tester', 'bra0']","[-17.066331267356873, 0.8246276378631592]","[0.5389404296875, 0.0]","[46.97484168424684, 43.980372847066405]","[2.490816761679764, -1.8311139739667175]",-11.24388618265163,0,-0.10444438,-0.99865292,0.1,0.7801521420478821,0.0,-0.0006284181145019,"[[True, False, True, True]]",5.974668589994745,17.899074482638024,0.5389404296875,2.9944688371804347,0.0674921672790921
17_14_0,56591.403684,brake,17,3,40,"['tester', 'bra0']","[-16.619868636131287, 1.2379083633422852]","[0.54388427734375, 0.0]","[47.347025731812984, 43.52852920680087]","[3.6624790163473624, -4.446369644170362]",41.50709419197609,0,-0.10444438,-0.99865292,0.1,0.7701521515846252,0.0,-0.0006284181145019,"[[True, False, True, True]]",4.676651368542731,17.86605746856505,0.54388427734375,3.8184965250121152,-0.0984049571034969
17_14_0,56591.43732,brake,17,3,40,"['tester', 'bra0']","[-16.10457456111908, 1.704297661781311]","[0.54949951171875, 0.0]","[47.77287196102676, 42.83121322755702]","[3.5167861584506332, -5.758677700161351]",-4.331456115359464,0,-0.10444438,-0.99865292,0.1,0.7701521515846252,0.0,-0.0006284181145019,"[[True, False, True, True]]",3.6038247850425855,17.817347714095167,0.54949951171875,4.941658733469737,0.0
17_14_0,56591.470834,brake,17,3,40,"['tester', 'bra0']","[-15.705639243125916, 2.056865096092224]","[0.553955078125, 0.0]","[48.100003283389285, 42.21721138117577]","[2.7113985725569045, -5.089099135485736]",-24.03137750893315,0,-0.10444438,-0.99865292,0.1,0.7701521515846252,0.0,-0.0006284181145019,"[[True, False, True, True]]",3.0194004198133646,17.77114027375069,0.553955078125,5.882791902213512,0.0
17_14_0,56591.504487,brake,17,3,40,"['tester', 'bra0']","[-15.247191786766052, 2.4528321027755737]","[0.5589599609375, 0.0]","[48.471970294811506, 41.475040279903894]","[3.0702810995697614, -6.126010734579398]",10.664206074580244,0,-0.10444438,-0.99865292,0.1,0.7601521611213684,0.0,-0.0006284181145019,"[[True, False, True, True]]",2.529684283225654,17.708847560704665,0.5589599609375,6.996930014907612,-0.082541679160803
17_14_0,56591.543503,brake,17,3,40,"['tester', 'bra0']","[-14.801282286643982, 2.82829749584198]","[0.56365966796875, 0.0]","[48.82730654698223, 40.72960074641936]","[2.529847100822084, -5.30722106484638]",-13.851599310892166,0,-0.10444438,-0.99865292,0.1,0.7501521706581116,0.0,-0.0006284181145019,"[[True, False, True, True]]",2.177107963253065,17.638588252134365,0.56365966796875,8.09770580056287,-0.0711957947638955
17_14_0,56591.571056,brake,17,3,40,"['tester', 'bra0']","[-14.35336434841156, 3.1958576440811157]","[0.568359375, 0.0]","[49.17606452249247, 39.967486027345814]","[3.5160314818665603, -7.683320621230612]",35.792268756510225,0,-0.10444438,-0.99865292,0.1,0.7401521801948547,0.0,-0.0006284181145019,"[[True, False, True, True]]",1.9057471250032705,17.55842319005152,0.568359375,9.208578495146654,-0.1008157053203914
17_14_0,56591.604922,brake,17,3,40,"['tester', 'bra0']","[-13.830942511558533, 3.61235249042511]","[0.573974609375, 0.0]","[49.570772609417865, 39.07139303715593]","[3.237498826661421, -7.349988764906182]",-8.224551326464878,0,-0.10444438,-0.99865292,0.1,0.7301521301269531,0.0,-0.0006284181145019,"[[True, False, True, True]]",1.6613643579537474,17.45273581357475,0.573974609375,10.499379572261937,-0.0820230226686637
17_14_0,56591.638121,brake,17,3,40,"['tester', 'bra0']","[-13.419702887535095, 3.9312578439712524]","[0.57830810546875, 0.0]","[49.87188722354867, 38.365562651109386]","[2.519441801173129, -5.905719934175351]",-21.628875128190497,0,-0.10444438,-0.99865292,0.1,0.7201521396636963,0.0,-0.0006284181145019,"[[True, False, True, True]]",1.507949877675668,17.36059557074947,0.57830810546875,11.506324572439285,-0.0836704457443483
17_14_0,56591.677203,brake,17,3,40,"['tester', 'bra0']","[-12.962808966636658, 4.276835560798645]","[0.5830078125, 0.0]","[50.195702515283216, 37.58443815403247]","[2.3015375916895535, -5.551891586657634]",-5.5755644416258185,0,-0.10444438,-0.99865292,0.1,0.7101521492004395,0.0,-0.0014663103502243,"[[True, False, True, True]]",1.3670036590784405,17.249499747580103,0.5830078125,12.611264361250749,-0.0710755623813763
17_14_0,56591.705246,brake,17,3,40,"['tester', 'bra0']","[-12.501050353050232, 4.616724610328674]","[0.58770751953125, 0.0]","[50.51109715784418, 36.80097562843376]","[3.124117353296579, -7.760527737586191]",29.332801827656635,0,-0.10444438,-0.99865292,0.1,0.7001521587371826,0.0,-0.0014663103502243,"[[True, False, True, True]]",1.2485501989649412,17.12786092381052,0.58770751953125,13.710121529410422,-0.0990541357500135
17_14_0,56591.744425,brake,17,3,40,"['tester', 'bra0']","[-11.9603933095932, 5.00286591053009]","[0.593017578125, 0.0]","[50.86476949347886, 35.894744316178844]","[2.507524833597753, -6.425149188966714]",-15.737831994382908,0,-0.10444438,-0.99865292,0.1,0.6901521682739258,0.0,-0.0014663103502243,"[[True, False, True, True]]",1.133148342719272,16.9736216882863,0.593017578125,14.970025177300016,-0.0708995923510929
