filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
17_10_2,55453.690829,brake,17,3,40,"['tester', 'bra0']","[-10.188079833984375, 0.0]","[0.195587158203125, 0.0]","[36.150675447943506, 24.347354614305303]","[-3.3385080582946562, 0.9357291901560536]",-10.81624846390438,2,-0.79333327,0.16849272,0.41111111,0.0,0.154999628663063,-0.0011259162565693,"[[True, False, False, True]]",0.8631536817121361,10.18995706762757,0.195587158203125,11.803320833638203,0.0
17_10_2,55453.726604,brake,17,3,40,"['tester', 'bra0']","[-9.8419189453125, 0.235015869140625]","[0.193115234375, 0.0]","[35.670873538573595, 24.33665668866432]","[-3.7254593471332695, -0.08306487801701086]",-10.816248463904376,2,-0.79333327,0.16849272,0.41111111,0.0,0.1174149066209793,-0.0011259162565693,"[[True, False, False, True]]",0.8890719974652493,10.078785082959412,0.193115234375,11.334216849909277,0.0
17_10_2,55453.761596,brake,17,3,40,"['tester', 'bra0']","[-9.50433349609375, 0.466522216796875]","[0.19061279296875, 0.0]","[35.15389510150778, 24.200663117782643]","[-4.1039415133119945, -1.0795608115736466]",-10.81624846390437,2,-0.79333327,0.16849272,0.41111111,0.0,0.1174149066209793,-0.0011259162565693,"[[True, False, False, True]]",0.9103117443057744,9.972677518306051,0.19061279296875,10.953231983725136,0.0
17_10_2,55453.803473,brake,17,3,40,"['tester', 'bra0']","[-9.16168212890625, 0.703094482421875]","[0.18817138671875, 0.0]","[34.5847099067127, 23.922709017786097]","[-3.7755091945875563, -1.8437202334261091]",7.842785268729497,2,-0.79333327,0.16849272,0.41111111,0.0,0.1301060318946838,-0.0011259162565693,"[[True, False, False, True]]",0.9252275172452418,9.866571140076276,0.18817138671875,10.662000888926606,0.0
17_10_2,55453.83308,brake,17,3,40,"['tester', 'bra0']","[-8.830047607421875, 0.93243408203125]","[0.185699462890625, 0.0]","[34.002964518076475, 23.54274685903776]","[-5.458031590689119, -3.5648679065192574]",-56.82853366723311,2,-0.79333327,0.16849272,0.41111111,0.0,0.1363897174596786,-0.0011259162565693,"[[True, False, False, True]]",0.9332962284027928,9.764247693879208,0.185699462890625,10.460217659038715,0.0
17_10_2,55453.868332,brake,17,3,40,"['tester', 'bra0']","[-8.468170166015625, 1.182373046875]","[0.18292236328125, 0.0]","[33.340458549798164, 23.053582313948265]","[-5.220397016483464, -3.8545058520619233]",6.741023890718198,2,-0.79333327,0.16849272,0.41111111,0.0,0.148836001753807,-0.0011259162565693,"[[True, False, False, True]]",0.9381412774519784,9.652276668996684,0.18292236328125,10.2868762358499,0.0
17_10_2,55453.903366,brake,17,3,40,"['tester', 'bra0']","[-8.172027587890625, 1.386322021484375]","[0.180633544921875, 0.0]","[32.77962937158453, 22.5871800669751]","[-4.446705567023976, -3.698012779388611]",22.08401693924568,2,-0.79333327,0.16849272,0.41111111,0.0,0.148836001753807,-0.0011259162565693,"[[True, False, False, True]]",0.9377873093813024,9.560056261999208,0.180633544921875,10.192449304609426,0.0
17_10_2,55453.937578,brake,17,3,40,"['tester', 'bra0']","[-7.8634033203125, 1.598297119140625]","[0.17816162109375, 0.0]","[32.14215106994233, 22.086672137197]","[-5.1758829071277095, -4.063778221073316]",-21.31349643786617,2,-0.79333327,0.16849272,0.41111111,0.0,0.2869006395339966,-0.0011259162565693,"[[True, False, False, True]]",0.9409497551271688,9.463377661764229,0.17816162109375,10.05547893274533,0.0
17_10_2,55453.972915,brake,17,3,40,"['tester', 'bra0']","[-7.551849365234375, 1.8115234375]","[0.175689697265625, 0.0]","[31.456124107682076, 21.552707404745288]","[-5.392734104932967, -4.1974003675257485]",-6.136661227555154,2,-0.79333327,0.16849272,0.41111111,0.0,0.3491864204406738,-0.0011259162565693,"[[True, False, False, True]]",0.9454689309354956,9.3650209349852,0.175689697265625,9.903416702936788,0.0
17_10_2,55454.007022,brake,17,3,40,"['tester', 'bra0']","[-7.2509765625, 2.016754150390625]","[0.173248291015625, 0.0]","[30.766493856280768, 21.008091083649674]","[-5.616558440361993, -4.435520902386352]",-6.562416378817959,2,-0.79333327,0.16849272,0.41111111,0.0,0.3837505578994751,-0.0011259162565693,"[[True, False, False, True]]",0.9497179947197268,9.269349898293624,0.173248291015625,9.758402772631094,0.0
