filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
15_5_2,39412.60352,brake,15,5,57,"['tester', 'bra0']","[-9.280220866203308, 0.0]","[1.09130859375, 0.0]","[40.30811807431418, 49.13049215386865]","[5.468182940909701, 2.020091956692892]",-264.2603214464597,2,-0.96172858,1.0,-1.0,0.0,0.7272047996520996,-0.001099732122384,"[[True, False, False, False]]",-1.051896097639963,9.344166831361044,1.09130859375,-8.822374079554471,0.0
15_5_2,39412.64549,brake,15,5,57,"['tester', 'bra0']","[-8.899213671684265, 0.46888577938079834]","[1.114501953125, 0.0]","[39.458554538999685, 49.03421754841643]","[-5.622822751698268, -0.6371919455643033]",-264.2603214464598,2,-0.96172858,1.0,-1.0,0.0,0.7030971646308899,-0.0019376260461285,"[[True, False, False, False]]",-0.9783238447147148,9.434161432187016,1.114501953125,-9.575663009416743,0.0
15_5_2,39412.67877,brake,15,5,57,"['tester', 'bra0']","[-8.506011366844177, 0.9706612825393677]","[1.13848876953125, 0.0]","[37.73123393140048, 48.70543107116298]","[-14.417406248382479, -2.7442781558230713]",-264.26032144645984,2,-0.96172858,1.0,-1.0,0.0,0.6925785541534424,-0.0027755245100706,"[[True, False, False, False]]",-0.8635413168446726,9.544814360788948,1.13848876953125,-10.974197139762495,0.0
15_5_2,39412.71372,brake,15,5,57,"['tester', 'bra0']","[-8.140089392662048, 1.4534910917282104]","[1.16082763671875, 0.0]","[36.23482620743193, 48.180971235558225]","[-11.893242123038512, -4.168334410967918]",72.22214950681695,2,-0.96172858,1.0,-1.0,0.0,0.6603188514709473,-0.0027755245100706,"[[True, False, False, False]]",-0.8030691458878909,9.663555624750328,1.16082763671875,-11.946145028126296,0.0
15_5_2,39412.748211,brake,15,5,57,"['tester', 'bra0']","[-7.800840735435486, 1.9124418497085571]","[1.1815185546875, 0.0]","[34.95363004564583, 47.52041483098798]","[-10.318280790165025, -5.3198773641312105]",45.66296520660026,2,-0.96172858,1.0,-1.0,0.0,0.5845307111740112,-0.0027755245100706,"[[True, False, False, False]]",-0.7729329936861479,9.784878367866073,1.1815185546875,-12.56678478534215,0.0
15_5_2,39412.783594,brake,15,5,57,"['tester', 'bra0']","[-7.455748438835144, 2.388381838798523]","[1.202392578125, -0.0001220703125]","[33.75701482233073, 46.73154154878053]","[-9.394147403188148, -6.193128543829503]",26.11800545233089,2,-0.96172858,1.0,-1.0,0.0,0.493677943944931,-0.0036134291440248,"[[True, False, False, False]]",-0.7587275039146885,9.917305198627831,1.2025146484375,-12.974526726449795,0.0
15_5_2,39412.818852,brake,15,5,57,"['tester', 'bra0']","[-7.139237761497498, 2.8312655687332153]","[1.221435546875, -0.0001220703125]","[32.75305438471508, 45.936114234407086]","[-7.909634674892677, -6.2667205114844196]",42.10428068675132,2,-0.96172858,1.0,-1.0,0.0,0.3934034407138824,-0.0044513423927128,"[[True, False, False, False]]",-0.7563117700981727,10.045055483682036,1.2215576171875,-13.183059849692008,0.0
15_5_2,39412.855802,brake,15,5,57,"['tester', 'bra0']","[-6.819177985191345, 3.284124255180359]","[1.2406005859375, -0.0001220703125]","[31.796254584825824, 45.07384197925766]","[-7.192901818145848, -6.482275260215294]",19.397370953105483,2,-0.96172858,1.0,-1.0,0.0,0.3934034407138824,-0.0044513423927128,"[[True, False, False, False]]",-0.7609290709401532,10.179199814820022,1.24072265625,-13.277587394431832,0.0
15_5_2,39412.889935,brake,15,5,57,"['tester', 'bra0']","[-6.509415030479431, 3.726007580757141]","[1.25885009765625, -0.0001220703125]","[30.97870227066635, 44.19350064607583]","[-6.653322738625668, -7.164306073590486]",15.808135221165768,2,-0.96172858,1.0,-1.0,0.0,0.2815245687961578,-0.0052892654202878,"[[True, False, False, False]]",-0.7745424727995073,10.312559670146536,1.25897216796875,-13.214798375409485,0.0
15_5_2,39412.930081,brake,15,5,57,"['tester', 'bra0']","[-6.2092121839523315, 4.155611634254456]","[1.27630615234375, -0.0001220703125]","[30.320034944315218, 43.307031000578654]","[-4.55744398474393, -6.1336513774109305]",52.20641543154366,2,-0.96172858,1.0,-1.0,0.0,0.0,-0.0095052924007177,"[[True, False, False, False]]",-0.7980924744493154,10.44312413935888,1.27642822265625,-12.986996056263436,0.0
