filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
1_10_2,80225.83162,brake,1,3,35,"['tester', 'bra0']","[-64.01849365234375, 0.0]","[-2.40728759765625, 0.0]","[34.80742836158841, 52.86336503051646]","[4.478333470560369, -0.6324367486075583]",-25.75614844631329,2,1.0,0.8925927,0.03333333,0.656667172908783,0.0,-0.0050535984337329,"[[False, False, False, True]]",-3.54556480930238,64.06373828534366,-2.40728759765625,-18.05593666892805,-0.2199204198851747
1_10_2,80225.868305,brake,1,3,35,"['tester', 'bra0']","[-63.5811767578125, 0.6607666015625]","[-2.36932373046875, 0.0]","[35.2740795002997, 52.781602683331506]","[3.533469164829913, -0.6191021700279014]",-25.756148446313304,2,1.0,0.8925927,0.03333333,0.6466671824455261,0.0,-0.0050535984337329,"[[False, False, False, True]]",-3.6693907349291934,64.28562033245777,-2.36932373046875,-17.507523183031807,-0.0757196436894848
1_10_2,80225.906211,brake,1,3,35,"['tester', 'bra0']","[-63.277191162109375, 1.1142578125]","[-2.343109130859375, 0.0]","[35.62303318162233, 52.698999232906026]","[2.5571566018819856, -0.6053237718918104]",-25.75614844631332,2,1.0,0.8925927,0.03333333,0.656667172908783,0.0,-0.0050535984337329,"[[False, False, False, True]]",-3.770881763364054,64.43406600121429,-2.343109130859375,-17.075966051283693,0.0732806186051695
1_10_2,80225.940364,brake,1,3,35,"['tester', 'bra0']","[-62.91754150390625, 1.643798828125]","[-2.312286376953125, 0.0]","[36.02080770090313, 52.58296989040447]","[3.235233274405619, -0.9437054699912824]",19.8540881478467,2,1.0,0.8925927,0.03333333,0.6466671824455261,0.0,-0.0050535984337329,"[[False, False, False, True]]",-3.898122696380567,64.60273472351932,-2.312286376953125,-16.562162189501343,-0.081333268779919
1_10_2,80225.979198,brake,1,3,35,"['tester', 'bra0']","[-62.56634521484375, 2.15472412109375]","[-2.28240966796875, 0.0]","[36.36297841262716, 52.456012588025054]","[2.4475310271380644, -0.908119619969092]",-20.283829817670075,2,1.0,0.8925927,0.03333333,0.656667172908783,0.0,-0.0050535984337329,"[[False, False, False, True]]",-4.02168221545688,64.76130179265752,-2.28240966796875,-16.093034175397896,0.0715294620237558
1_10_2,80226.014324,brake,1,3,35,"['tester', 'bra0']","[-62.20074462890625, 2.680145263671875]","[-2.251495361328125, 0.0]","[36.69824611830812, 52.31433703974972]","[2.6513100904772524, -1.1203757604788098]",5.801374005714563,2,1.0,0.8925927,0.03333333,0.6466671824455261,0.0,-0.0050535984337329,"[[False, False, False, True]]",-4.154745910418192,64.91994381247514,-2.251495361328125,-15.616090921441597,-0.0790803145386715
1_10_2,80226.051201,brake,1,3,35,"['tester', 'bra0']","[-61.83319091796875, 3.202392578125]","[-2.220672607421875, 0.0]","[37.01942540685538, 52.16542424576371]","[2.4192984532852324, -1.1216927897009012]",-6.291499776184461,2,1.0,0.8925927,0.03333333,0.656667172908783,0.0,-0.0050535984337329,"[[False, False, False, True]]",-4.293911823697281,65.07348544151247,-2.220672607421875,-15.145998838908326,0.0753254095868152
1_10_2,80226.087412,brake,1,3,35,"['tester', 'bra0']","[-61.454132080078125, 3.734649658203125]","[-2.189117431640625, 0.0]","[37.339525800603255, 52.00778075164957]","[2.4555183796138014, -1.209297160467411]",1.0002465087912402,2,1.0,0.8925927,0.03333333,0.6466671824455261,0.0,-0.0050535984337329,"[[False, False, False, True]]",-4.44420839123956,65.22552797525509,-2.189117431640625,-14.668254951046316,-0.0767108096650164
1_10_2,80226.122412,brake,1,3,35,"['tester', 'bra0']","[-61.02142333984375, 4.334686279296875]","[-2.1534423828125, 0.0]","[37.714383080739005, 51.82519829095749]","[2.975057778558252, -1.4490671482052782]",14.843982825503108,2,1.0,0.8925927,0.03333333,0.656667172908783,0.0,-0.0050535984337329,"[[False, False, False, True]]",-4.631632449683869,65.39157727601636,-2.1534423828125,-14.110815210218483,0.0793650036687224
1_10_2,80226.160799,brake,1,3,35,"['tester', 'bra0']","[-60.651336669921875, 4.844757080078125]","[-2.123138427734375, 0.0]","[37.68378698036685, 51.667314464577984]","[-0.22140091094167905, -1.1424862174656372]",-83.26930181705924,2,1.0,0.8925927,0.03333333,0.6466671824455261,0.0,-0.0050535984337329,"[[False, False, False, True]]",-4.683803412547508,65.53049681859669,-2.123138427734375,-13.983527484211136,-0.0723623916461022
1_10_2,80226.198118,brake,1,3,35,"['tester', 'bra0']","[-60.28021240234375, 5.355010986328125]","[-2.092987060546875, 0.0]","[37.64934929676966, 51.5078479182361]","[-0.2563311777539946, -1.1869627502910867]",-0.93599150075159,2,1.0,0.8925927,0.03333333,0.656667172908783,0.0,-0.0050535984337329,"[[False, False, False, True]]",-4.736099138979215,65.66858567166248,-2.092987060546875,-13.858498621466444,0.0744332680141238
1_10_2,80226.234775,brake,1,3,35,"['tester', 'bra0']","[-59.886322021484375, 5.894927978515625]","[-2.06121826171875, 0.0]","[37.621573383711194, 51.33814691913682]","[-0.2104790736897577, -1.285952653274136]",1.2508416962377316,2,1.0,0.8925927,0.03333333,0.656667172908783,0.0,-0.0050535984337329,"[[False, False, False, True]]",-4.795749450845547,65.81353563124338,-2.06121826171875,-13.716573535425624,0.0
1_10_2,80226.272021,brake,1,3,35,"['tester', 'bra0']","[-59.49407958984375, 6.42034912109375]","[-2.029937744140625, 0.0]","[38.71819031116689, 51.17262415639721]","[8.178483951101398, -1.2344559204905599]",225.23124701872985,2,1.0,0.8925927,0.03333333,0.663956880569458,0.0,-0.0042156782001256,"[[False, False, False, True]]",-5.292446812922033,65.94567885414743,-2.029937744140625,-12.45443384523032,0.0543660740759997
1_10_2,80226.306012,brake,1,3,35,"['tester', 'bra0']","[-59.123504638671875, 6.904205322265625]","[-2.00054931640625, 0.0]","[39.47211506295373, 51.02019915553303]","[6.16114683707764, -1.2456320206229785]",-59.34915459367158,2,1.0,0.8925927,0.03333333,0.6539568305015564,0.0,-0.0042156782001256,"[[False, False, False, True]]",-5.717633282854805,66.0580099628581,-2.00054931640625,-11.548084092579296,-0.0817213875793938
1_10_2,80226.345172,brake,1,3,35,"['tester', 'bra0']","[-58.74468994140625, 7.389129638671875]","[-1.970703125, 0.0]","[40.09913406694799, 50.8676883232828]","[4.447700346087317, -1.0818212479371847]",-43.75501764501299,2,1.0,0.8925927,0.03333333,0.6711920499801636,0.0,-0.0042156782001256,"[[False, False, False, True]]",-6.1413833283306,66.16317527943478,-1.970703125,-10.76855425633481,0.1222564087397171
1_10_2,80226.387714,brake,1,3,35,"['tester', 'bra0']","[-58.316131591796875, 7.92779541015625]","[-1.93719482421875, 0.0]","[40.68879332464536, 50.69875293011681]","[3.8501771958591906, -1.1030628110226643]",-14.04548799515863,2,1.0,0.8925927,0.03333333,0.6711920499801636,0.0,-0.0042156782001256,"[[False, False, False, True]]",-6.617801630862141,66.27224598900413,-1.93719482421875,-10.009959605471453,0.0
1_10_2,80226.41794,brake,1,3,35,"['tester', 'bra0']","[-57.902435302734375, 8.439697265625]","[-1.905181884765625, 0.0]","[41.17466852022529, 50.53887439070211]","[4.46520651406045, -1.469288208468637]",20.34769133026712,2,1.0,0.8925927,0.03333333,0.6819443702697754,0.0,-0.0042156782001256,"[[False, False, False, True]]",-7.084651222536744,66.36948298526823,-1.905181884765625,-9.364205870476823,0.0988141214764711
1_10_2,80226.459339,brake,1,3,35,"['tester', 'bra0']","[-57.430694580078125, 9.014892578125]","[-1.868896484375, 0.0]","[41.65856707579989, 50.3600959334244]","[3.2468481232877378, -1.19956237068563]",-29.42965750238659,2,1.0,0.8925927,0.03333333,0.6719443798065186,0.0,-0.0042156782001256,"[[False, False, False, True]]",-7.636081916798075,66.47186492695747,-1.868896484375,-8.70152885762451,-0.0670976383262116
1_10_2,80226.49529,brake,1,3,35,"['tester', 'bra0']","[-57.004608154296875, 9.52734375]","[-1.83642578125, 0.0]","[42.049049634085705, 50.20170054776509]","[3.017089295532216, -1.2238524164365026]",-6.390888366809383,2,1.0,0.8925927,0.03333333,0.6819443702697754,0.0,-0.0042156782001256,"[[False, False, False, True]]",-8.160775263008313,66.55729174061781,-1.83642578125,-8.152650913679388,0.0772655872635237
1_10_2,80226.530103,brake,1,3,35,"['tester', 'bra0']","[-56.5831298828125, 10.02838134765625]","[-1.80462646484375, 0.0]","[42.407053854551506, 50.0477031265088]","[2.8565655594585126, -1.2287668822277478]",-4.611028527120862,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-8.718043304899005,66.63595204605753,-1.80462646484375,-7.640649271957294,0.0566712775607675
1_10_2,80226.566414,brake,1,3,35,"['tester', 'bra0']","[-56.14044189453125, 10.548583984375]","[-1.77154541015625, 0.0]","[42.76023256521121, 49.88877559036296]","[2.7018037893771285, -1.2157896453983308]",-4.262118092769531,2,1.0,0.8925927,0.03333333,0.6790468096733093,0.0,-0.0042156782001256,"[[False, False, False, True]]",-9.35521124633832,66.71255163623763,-1.77154541015625,-7.12854302515175,-0.0764995491288111
1_10_2,80226.603185,brake,1,3,35,"['tester', 'bra0']","[-55.718231201171875, 11.039398193359375]","[-1.74017333984375, 0.0]","[43.08067596566085, 49.739773514943224]","[2.420713488416157, -1.125600755903962]",-7.644347474030769,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-10.025026499533032,66.78030612111841,-1.74017333984375,-6.659097549282372,0.0755425506172743
1_10_2,80226.639758,brake,1,3,35,"['tester', 'bra0']","[-55.26678466796875, 11.55865478515625]","[-1.706939697265625, 0.0]","[43.410162756569406, 49.58311190886529]","[2.502504814303888, -1.1898699257276786]",2.2363854722569254,2,1.0,0.8925927,0.03333333,0.6790468096733093,0.0,-0.0042156782001256,"[[False, False, False, True]]",-10.825528901087877,66.84723630213426,-1.706939697265625,-6.172949152295885,-0.075951525122713
1_10_2,80226.674718,brake,1,3,35,"['tester', 'bra0']","[-54.83477783203125, 12.0504150390625]","[-1.6754150390625, 0.0]","[43.71549476482149, 49.43573031678529]","[2.4260425274905395, -1.1710334995738445]",-2.187136351124912,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-11.692734025285306,66.90617341439075,-1.6754150390625,-5.720235551963796,0.0794558103398422
1_10_2,80226.7101,brake,1,3,35,"['tester', 'bra0']","[-54.411590576171875, 12.5274658203125]","[-1.644805908203125, 0.0]","[44.00749280859484, 49.29365992772304]","[2.2924246145098217, -1.1153693109399418]",-3.7764375381195774,2,1.0,0.8925927,0.03333333,0.6790468096733093,0.0,-0.0042156782001256,"[[False, False, False, True]]",-12.66306094528544,66.95926117967085,-1.644805908203125,-5.286167119128201,-0.0785081433649177
1_10_2,80226.745993,brake,1,3,35,"['tester', 'bra0']","[-53.99346923828125, 12.994415283203125]","[-1.6148681640625, 0.0]","[44.290230376714504, 49.15547251898402]","[2.1881206182315154, -1.0694394814694652]",-2.9059704192053823,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-13.768664038217054,67.00734640210004,-1.6148681640625,-4.865242142269516,0.0773904418160291
1_10_2,80226.781552,brake,1,3,35,"['tester', 'bra0']","[-53.556884765625, 13.477508544921875]","[-1.58380126953125, 0.0]","[44.58068651969615, 49.01342272921639]","[2.268968810927745, -1.1096564847036818]",2.273635161412879,2,1.0,0.8925927,0.03333333,0.6790468096733093,0.0,-0.0042156782001256,"[[False, False, False, True]]",-15.122576698016989,67.05310069619794,-1.58380126953125,-4.432736209520236,-0.0781173578833148
1_10_2,80226.816684,brake,1,3,35,"['tester', 'bra0']","[-53.109100341796875, 13.968170166015625]","[-1.552276611328125, 0.0]","[44.874096792957914, 48.87010607855149]","[2.3199036113323688, -1.1331601029011917]",1.4498121484135715,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-16.78606472453398,67.0952292004158,-1.552276611328125,-3.9960092855935727,0.0790668088444945
1_10_2,80226.852694,brake,1,3,35,"['tester', 'bra0']","[-52.64349365234375, 14.473480224609375]","[-1.519805908203125, 0.0]","[45.17533539614544, 48.723524428394796]","[2.323726458850857, -1.1307171632284951]",0.1061607197693729,2,1.0,0.8925927,0.03333333,0.6790468096733093,0.0,-0.0042156782001256,"[[False, False, False, True]]",-18.91583939495036,67.13417901783127,-1.519805908203125,-3.548189032249354,-0.0771389927514041
1_10_2,80226.895086,brake,1,3,35,"['tester', 'bra0']","[-52.181304931640625, 14.97027587890625]","[-1.487823486328125, 0.0]","[45.470798462595425, 48.580420637832674]","[1.9360510003783398, -0.9377017581404898]",-9.145014588717336,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-21.59477165595641,67.16806104155364,-1.487823486328125,-3.1096221752372486,0.0655259277336429
1_10_2,80226.933542,brake,1,3,35,"['tester', 'bra0']","[-51.725860595703125, 15.45526123046875]","[-1.45660400390625, 0.0]","[45.76067773781399, 48.44168047936706]","[2.0938740613949256, -1.0021565662669116]",4.103990561630498,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-25.058207059965497,67.19691082964411,-1.45660400390625,-2.681002741553065,0.0
1_10_2,80226.971798,brake,1,3,35,"['tester', 'bra0']","[-51.09429931640625, 16.12042236328125]","[-1.41387939453125, 0.0]","[46.160110966942995, 48.25294909466905]","[2.900294718699811, -1.3703833291139298]",21.079586399746287,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-32.11654106890664,67.22959069799647,-1.41387939453125,-2.092838127726054,0.0
1_10_2,80227.008492,brake,1,3,35,"['tester', 'bra0']","[-50.675628662109375, 16.55682373046875]","[-1.3858642578125, 0.0]","[46.42194990105377, 48.13010477980922]","[1.9821506857555158, -0.9299455169548939]",-25.02163931629204,2,1.0,0.8925927,0.03333333,0.6790468096733093,0.0,-0.0042156782001256,"[[False, False, False, True]]",-39.35969344979021,67.24673430332038,-1.3858642578125,-1.708154878755451,-0.0757010718119817
1_10_2,80227.043393,brake,1,3,35,"['tester', 'bra0']","[-50.20684814453125, 17.04119873046875]","[-1.354766845703125, 0.0]","[46.712174862603156, 47.9946433536697]","[2.30990644566471, -1.0781402802438735]",9.391013433697983,2,1.0,0.8925927,0.03333333,0.6890468001365662,0.0,-0.0042156782001256,"[[False, False, False, True]]",-52.43641254614699,67.2616919331384,-1.354766845703125,-1.2824684910665454,0.0795901300299838
