filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
6_17_2,81385.129067,brake,6,5,56,"['tester', 'bra0']","[-29.02724277973175, 0.0]","[0.2945556640625, 0.0]","[38.126601632831644, 24.37658538026876]","[-2.08045197684738, 0.00539751469007517]",5.625485686579099,2,-0.9,0.68458616,0.8925927,0.2840641736984253,0.0,-0.000130920408992,"[[False, True, False, True]]",2.111069706868261,29.02873725177725,0.2945556640625,13.750016252562885,-0.0879698616115522
6_17_2,81385.166426,brake,6,5,56,"['tester', 'bra0']","[-28.63999569416046, 0.24849116802215576]","[0.29486083984375, 0.0]","[37.875061915086995, 24.37197283829924]","[-1.870289457113597, -0.03429593025483248]",5.6254856865791005,2,-0.9,0.68458616,0.8925927,0.274064153432846,0.0,-0.000130920408992,"[[False, True, False, True]]",2.139398377504808,28.88999162515232,0.29486083984375,13.503089076787756,-0.0743537944676447
6_17_2,81385.215673,brake,6,5,56,"['tester', 'bra0']","[-28.242801785469055, 0.5050405859947205]","[0.295166015625, 0.0]","[37.59259569089727, 24.356616009061252]","[-1.5932511634917201, -0.08662021847444819]",5.625485686579103,2,-0.9,0.68458616,0.8925927,0.2640641629695892,0.0,-0.000130920408992,"[[False, True, False, True]]",2.1719466985065696,28.74935762745505,0.295166015625,13.235979681836016,-0.0564049612876498
6_17_2,81385.253703,brake,6,5,56,"['tester', 'bra0']","[-27.856334805488586, 0.7565829753875732]","[0.29547119140625, 0.0]","[37.30147433119932, 24.36687621127125]","[-2.1264013770417263, 0.07494231316692924]",-14.01920098882735,2,-0.9,0.68458616,0.8925927,0.2540641725063324,0.0,-0.000130920408992,"[[False, True, False, True]]",2.212122674054544,28.614443331299142,0.29547119140625,12.934598119928072,-0.0730416810141869
6_17_2,81385.28502,brake,6,5,56,"['tester', 'bra0']","[-27.27447521686554, 1.139450192451477]","[0.29595947265625, 0.0]","[36.83867059277686, 24.390043634188142]","[-4.105009866932829, 0.20549207313973966]",-63.1800137253615,2,-0.9,0.68458616,0.8925927,0.2440641671419143,0.0,-0.000130920408992,"[[False, True, False, True]]",2.282494728441784,28.415466724579524,0.29595947265625,12.448626958588717,-0.0886987664149869
6_17_2,81385.318165,brake,6,5,56,"['tester', 'bra0']","[-27.015199780464172, 1.3119721412658691]","[0.29620361328125, 0.0]","[36.59135407223415, 24.407250973395502]","[-2.0726816553457295, 0.14420927576587902]",61.316283332776365,2,-0.9,0.68458616,0.8925927,0.2340641617774963,0.0,-0.000130920408992,"[[False, True, False, True]]",2.32492877743542,28.328720508765866,0.29620361328125,12.184103098838644,-0.0838068869265384
6_17_2,81385.351673,brake,6,5,56,"['tester', 'bra0']","[-26.663740277290344, 1.5482494831085205]","[0.2965087890625, 0.0]","[36.293318284767786, 24.47742443851109]","[-2.470685172422951, 0.5817306076982279]",-11.877865499535623,2,-0.9,0.68458616,0.8925927,0.2240641713142395,0.0,-0.000130920408992,"[[False, True, False, True]]",2.3876306039543924,28.21354787514044,0.2965087890625,11.815893846256696,-0.0828988638310043
6_17_2,81385.383821,brake,6,5,56,"['tester', 'bra0']","[-26.330947995185852, 1.7746187448501587]","[0.296875, 0.0]","[36.00328540466646, 24.579084038616212]","[-2.5060560196904484, 0.8783992101645879]",-1.1002503194364008,2,-0.9,0.68458616,0.8925927,0.2140641659498214,0.0,-0.000130920408992,"[[False, True, False, True]]",2.4601778137033232,28.10713461995448,0.296875,11.424201366050244,-0.0864059744939301
6_17_2,81385.422679,brake,6,5,56,"['tester', 'bra0']","[-26.018449902534485, 1.9898673295974731]","[0.2972412109375, 0.0]","[35.72050698256115, 24.70141682132661]","[-2.0214514822208844, 0.8745001938020713]",12.47116520332809,2,-0.9,0.68458616,0.8925927,0.2040641605854034,0.0,-0.000130920408992,"[[False, True, False, True]]",2.541799442812982,28.009894439522967,0.2972412109375,11.019090161234535,-0.0714853895697587
6_17_2,81385.45554,brake,6,5,56,"['tester', 'bra0']","[-25.644975781440735, 2.25007164478302]","[0.29754638671875, 0.0]","[35.347839723345366, 24.694998401705153]","[-3.150198810641506, -0.054255632491732236]",-34.34914726975644,2,-0.9,0.68458616,0.8925927,0.1940641701221466,0.0,-0.000130920408992,"[[False, True, False, True]]",2.6185546732548874,27.89663429095922,0.29754638671875,10.652841321640214,-0.0845310589668343
