filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
7_1_0,84374.408328,brake,7,1,37,"['tester', 'bra0']","[-23.435008466243744, 0.0]","[-2.5318603515625, 0.0]","[8.69444918023279, 48.4173829533552]","[0.9409053853941568, 5.167192037545606]",2.412405588539003,0,-0.47777777,0.90513506,-0.98000013,0.0,0.5726326107978821,0.0026707868091762,"[[False, False, False, False]]",-0.5899616730247776,23.571379651024465,-2.5318603515625,-39.72293377312241,0.0
7_1_0,84374.43878,brake,7,1,37,"['tester', 'bra0']","[-23.35477966070175, 0.4376682639122009]","[-2.537109375, 0.0831298828125]","[8.80565149946638, 48.83066542205046]","[1.0143679603565237, 3.7698898522153166]",2.4124055885390034,0,-0.47777777,0.90513506,-0.98000013,0.0,0.5646185278892517,0.0026707868091762,"[[False, False, False, False]]",-0.5944394665454216,23.93629528589687,-2.6202392578125,-40.02501392258408,0.0
7_1_0,84374.4735,brake,7,1,37,"['tester', 'bra0']","[-23.277526319026947, 0.8556565642356873]","[-2.54241943359375, 0.16259765625]","[8.942908549734787, 49.10274160572975]","[1.0981266823809819, 2.176748781606199]",2.412405588539004,0,-0.47777777,0.90513506,-0.98000013,0.0,0.5442879796028137,0.0026707868091762,"[[False, False, False, False]]",-0.600928366649674,24.284308380790826,-2.70501708984375,-40.15983305599496,0.0
7_1_0,84374.506454,brake,7,1,37,"['tester', 'bra0']","[-23.190707623958588, 1.3214320540428162]","[-2.5487060546875, 0.25103759765625]","[9.051682553586732, 49.29749619407136]","[0.9168841737397943, 1.6416367283554765]",-5.499863706676507,0,-0.47777777,0.90513506,-0.98000013,0.0,0.5150880217552185,0.0026707868091762,"[[False, False, False, False]]",-0.6090606068240552,24.671513048710448,-2.79974365234375,-40.24581364048463,0.0
7_1_0,84374.539506,brake,7,1,37,"['tester', 'bra0']","[-23.107400357723236, 1.7639172673225403]","[-2.55517578125, 0.3350830078125]","[9.182067427661769, 49.40189671338601]","[1.0957890771404823, 0.8774096652265918]",5.412831399214975,0,-0.47777777,0.90513506,-0.98000013,0.0,0.493677943944931,0.0026707868091762,"[[False, False, False, False]]",-0.6183844652437072,25.03869078593499,-2.8902587890625,-40.21982928572424,0.0
7_1_0,84374.573328,brake,7,1,37,"['tester', 'bra0']","[-23.020390927791595, 2.2206106781959534]","[-2.56231689453125, 0.4219970703125]","[9.30396802133951, 49.44820164825159]","[1.0011612566967822, 0.38029926994316343]",-2.797818592940025,0,-0.47777777,0.90513506,-0.98000013,0.0,0.493677943944931,0.0026707868091762,"[[False, False, False, False]]",-0.6287578395584656,25.41681120664485,-2.98431396484375,-40.14423362691208,0.0
7_1_0,84374.605039,brake,7,1,37,"['tester', 'bra0']","[-22.93409675359726, 2.6678608059883118]","[-2.56976318359375, 0.5069580078125]","[9.435445610176805, 49.4480083733886]","[1.151699802940249, -0.0016930233021253697]",4.747202744408691,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4806007742881775,0.0026707868091762,"[[False, False, False, False]]",-0.63984798252224,25.78616769069163,-3.07672119140625,-40.0125627632118,0.0
7_1_0,84374.639102,brake,7,1,37,"['tester', 'bra0']","[-22.852528989315033, 3.0842249989509583]","[-2.57708740234375, 0.5860595703125]","[9.587487211885005, 49.417506763412646]","[1.239872537748607, -0.24873526812019137]",2.588519355622132,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4673444628715515,0.0026707868091762,"[[False, False, False, False]]",-0.651186072221529,26.128924704596173,-3.16314697265625,-39.83001955152764,0.0
7_1_0,84374.671575,brake,7,1,37,"['tester', 'bra0']","[-22.759734570980072, 3.5510464310646057]","[-2.58575439453125, 0.6748046875]","[9.711962753089411, 49.35742255621547]","[1.0647780994731624, -0.513967220618117]",-5.392000686084471,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4493820667266845,0.0026707868091762,"[[False, False, False, False]]",-0.6636518061008858,26.51204334759906,-3.26055908203125,-39.64545980312606,0.0
7_1_0,84374.705291,brake,7,1,37,"['tester', 'bra0']","[-22.66335815191269, 4.029623568058014]","[-2.5953369140625, 0.7657470703125]","[9.830733873150388, 49.27465157665549]","[0.9785258568472156, -0.6819296109561693]",-2.558199152100167,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4448389112949371,0.0026707868091762,"[[False, False, False, False]]",-0.6767325173076986,26.903757333367253,-3.361083984375,-39.4439177035051,0.0
7_1_0,84374.739606,brake,7,1,37,"['tester', 'bra0']","[-22.57718986272812, 4.450882971286774]","[-2.604248046875, 0.845703125]","[9.98903753854724, 49.18873622894616]","[1.2814582658215534, -0.6954793637092709]",8.827988022715903,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4448389112949371,0.0026707868091762,"[[False, False, False, False]]",-0.6894969537261981,27.247364720448388,-3.449951171875,-39.19969869039892,0.0
7_1_0,84374.774445,brake,7,1,37,"['tester', 'bra0']","[-22.48369735479355, 4.900401175022125]","[-2.61431884765625, 0.93121337890625]","[10.132737609005218, 49.08714861044521]","[1.1457471867280664, -0.8099768339216145]",-3.895378142133787,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4448389112949371,0.0026707868091762,"[[False, False, False, False]]",-0.7029781179030891,27.61267192903009,-3.5455322265625,-38.95441100143999,0.0
7_1_0,84374.80692,brake,7,1,37,"['tester', 'bra0']","[-22.384816586971283, 5.368891775608063]","[-2.62548828125, 1.020263671875]","[10.263105377187129, 48.97321602344281]","[1.1151122075271944, -0.9745324352278655]",-0.9433403910975814,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4448389112949371,0.0026707868091762,"[[False, False, False, False]]",-0.7169627753379694,27.99213881036641,-3.645751953125,-38.71011064625568,0.0
7_1_0,84374.841568,brake,7,1,37,"['tester', 'bra0']","[-22.29147094488144, 5.804402410984039]","[-2.6363525390625, 1.10302734375]","[10.412605936997174, 48.861965614093535]","[1.1985665342783849, -0.891909821208888]",2.408633304935361,0,-0.47777777,0.90513506,-0.98000013,0.0,0.458404928445816,0.0026707868091762,"[[False, False, False, False]]",-0.7307240898631069,28.34362470709797,-3.7393798828125,-38.44935967709636,0.0
7_1_0,84374.876021,brake,7,1,37,"['tester', 'bra0']","[-22.192229688167572, 6.2602697014808655]","[-2.6484375, 1.18963623046875]","[10.550560714908661, 48.74158335002452]","[1.1122622599437935, -0.9705836297780647]",-2.504985758397223,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4628850221633911,0.0026707868091762,"[[False, False, False, False]]",-0.7450049102242932,28.710199084619024,-3.83807373046875,-38.19102263511586,0.0
7_1_0,84374.910346,brake,7,1,37,"['tester', 'bra0']","[-22.09127563238144, 6.717295229434967]","[-2.6611328125, 1.2764892578125]","[10.685705424524366, 48.61807276699696]","[1.0936692531649805, -0.9995191634347584]",-0.5416753613553635,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4717834293842315,0.0034825061447918,"[[False, False, False, False]]",-0.7594719992485062,29.076427267958994,-3.9376220703125,-37.9323673424726,0.0
7_1_0,84374.945615,brake,7,1,37,"['tester', 'bra0']","[-21.98392814397812, 7.196681082248688]","[-2.67510986328125, 1.36767578125]","[10.805629109847173, 48.48648900238368]","[0.9445160002244979, -1.0363504983396523]",-4.229018484805488,0,-0.47777777,0.90513506,-0.98000013,0.0,0.4849794805049896,0.0034825061447918,"[[False, False, False, False]]",-0.7744146314454636,29.45932909251976,-4.04278564453125,-37.6808598925365,0.0
7_1_0,84374.980065,brake,7,1,37,"['tester', 'bra0']","[-21.884782254695892, 7.633206903934479]","[-2.68865966796875, 1.45068359375]","[10.949324277768355, 48.3655359694338]","[1.1586451213907476, -0.9752703836336186]",6.215649382190634,0,-0.47777777,0.90513506,-0.98000013,0.0,0.5150880217552185,0.0034825061447918,"[[False, False, False, False]]",-0.788909080424237,29.806808729002785,-4.13934326171875,-37.416211691665445,0.0
7_1_0,84375.015774,brake,7,1,37,"['tester', 'bra0']","[-21.778317868709564, 8.095575869083405]","[-2.70361328125, 1.53857421875]","[11.066869291345471, 48.23675177682354]","[0.9143743218010616, -1.0018030981760764]",-6.840594795888299,0,-0.47777777,0.90513506,-0.98000013,0.0,0.5605864524841309,0.0034825061447918,"[[False, False, False, False]]",-0.80371235366333,30.17359245834182,-4.2421875,-37.16988248547807,0.0
7_1_0,84375.05046,brake,7,1,37,"['tester', 'bra0']","[-21.666568219661713, 8.575481951236725]","[-2.71978759765625, 1.62982177734375]","[11.165130294693398, 48.102784713653186]","[0.7869089302008065, -1.0728557084670847]",-3.6748368680079984,0,-0.47777777,0.90513506,-0.98000013,0.0,0.5845307111740112,0.0034825061447918,"[[False, False, False, False]]",-0.8187322840774494,30.55324369447909,-4.349609375,-36.93765441895979,0.0
