filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
26_5_0,79619.997452,brake,26,3,36,"['tester', 'bra0']","[-24.353086829185486, 0.0]","[0.39605712890625, 0.0]","[61.52494888648846, 38.634807550616856]","[1.4165399506822136, 1.4464402123121203]",12.437859693713856,0,0.42196451,-0.2483722,0.71959889,0.7182373404502869,0.0,-0.004556082189083,"[[True, False, False, False]]",1.0639115972176751,24.35630717820756,0.39605712890625,22.890141335871604,-0.0551238616953165
26_5_0,79620.034362,brake,26,3,36,"['tester', 'bra0']","[-23.814001441001892, 0.3374881148338318]","[0.3974609375, 0.0]","[61.77417394933625, 38.57801167107374]","[1.875621352099226, -0.42743519919337675]",12.43785969371386,0,0.42196451,-0.2483722,0.71959889,0.70823734998703,0.0,-0.004556082189083,"[[True, False, False, False]]",1.04118471263104,24.15475984071215,0.3974609375,23.19616227826252,-0.0752580636126814
26_5_0,79620.064631,brake,26,3,36,"['tester', 'bra0']","[-23.260761618614197, 0.6810940504074097]","[0.3985595703125, 0.0]","[62.01958200190075, 38.363980822859325]","[2.2521029271099735, -1.96415518854592]",12.437859693713865,0,0.42196451,-0.2483722,0.71959889,0.6982373595237732,0.0,-0.004556082189083,"[[True, False, False, False]]",1.0121009179945846,23.94517284563529,0.3985595703125,23.655601179041422,-0.0917696365625696
26_5_0,79620.096223,brake,26,3,36,"['tester', 'bra0']","[-22.629751563072205, 1.0678554773330688]","[0.39923095703125, -6.103515625e-05]","[62.28692176363557, 37.94224994741785]","[2.350628163073985, -3.7081370411106516]",3.118676752532134,0,0.42196451,-0.2483722,0.71959889,0.6882373690605164,0.0,-0.004556082189083,"[[True, False, False, False]]",0.9734206819177004,23.7009707298349,0.3992919921875,24.34467181621772,-0.0879265361084576
26_5_0,79620.128494,brake,26,3,36,"['tester', 'bra0']","[-22.089155554771423, 1.3938497304916382]","[0.39947509765625, 0.0]","[62.50579384405851, 37.44528689130101]","[1.8839763289194833, -4.277688740667156]",-14.46040823344054,0,0.42196451,-0.2483722,0.71959889,0.6782373785972595,0.0,-0.004556082189083,"[[True, False, False, False]]",0.9370522842786762,23.486402823364426,0.39947509765625,25.0605069527575,-0.0860765122979186
26_5_0,79620.160025,brake,26,3,36,"['tester', 'bra0']","[-21.53755795955658, 1.720312476158142]","[0.3994140625, 0.0]","[62.71958787277903, 36.84456479032885]","[1.8834553359907782, -5.292164862109645]",-0.0165231971296872,0,0.42196451,-0.2483722,0.71959889,0.6682373881340027,0.0,-0.004556082189083,"[[True, False, False, False]]",0.8988540942206715,23.261299808863125,0.3994140625,25.875023082450177,-0.0880966391371909
26_5_0,79620.192356,brake,26,3,36,"['tester', 'bra0']","[-20.977070212364197, 2.0453051328659058]","[0.39874267578125, 0.0]","[62.92699676798129, 36.19856182080255]","[1.7819919584839645, -5.550254224776843]",-3.138269076826304,0,0.42196451,-0.2483722,0.71959889,0.6582373380661011,0.0,-0.004556082189083,"[[True, False, False, False]]",0.861343935427846,23.025828155750403,0.39874267578125,26.728434947178734,-0.0859172832874897
26_5_0,79620.226522,brake,26,3,36,"['tester', 'bra0']","[-20.385416388511658, 2.380843758583069]","[0.3978271484375, 0.0]","[63.13532813054071, 35.49730101608852]","[1.6937839646773971, -5.701418602984714]",-2.581747755448699,0,0.42196451,-0.2483722,0.71959889,0.6482373476028442,0.0,-0.004556082189083,"[[True, False, False, False]]",0.8237295684245868,22.769735780751333,0.3978271484375,27.638027114452186,-0.0813023218660169
26_5_0,79620.259149,brake,26,3,36,"['tester', 'bra0']","[-19.798431754112244, 2.7061325311660767]","[0.396240234375, 0.0]","[63.33150799972222, 34.78883045166588]","[1.6702242956136273, -6.031733808176373]",-0.7220911839321148,0,0.42196451,-0.2483722,0.71959889,0.6382373571395874,0.0,-0.004556082189083,"[[True, False, False, False]]",0.7884531592170408,22.508052336743003,0.396240234375,28.54267754805634,-0.0851373135139679
26_5_0,79620.290408,brake,26,3,36,"['tester', 'bra0']","[-19.239735007286072, 3.00873863697052]","[0.39447021484375, 0.0]","[63.50873149032685, 34.10354451110254]","[1.5748663551884048, -6.089676756703478]",-3.0505755282678204,0,0.42196451,-0.2483722,0.71959889,0.6282373666763306,0.0,-0.004556082189083,"[[True, False, False, False]]",0.7566173158489296,22.25197039027284,0.39447021484375,29.40518697922431,-0.0888632115249448
