filename,time,Scenes,driverID,ques_score,style_score,car_name,x,y,veh_speed,test_a,test_jerk,emotion,emo_p,emo_a,emo_d,test_throttle,test_brake,test_steer,chuflag,TTC,delta_dist,longit_dist,delta_v,test_throttle_a
15_1_0,38661.620891,brake,15,5,57,"['tester', 'bra0']","[-25.947761476039886, 0.0]","[0.77203369140625, 0.0]","[41.328180466854256, 40.048905175215765]","[3.271574259006466, -0.03147368872123599]",-1.0135276637844275,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,0.0020685472991317,"[[False, False, False, False]]",20.2831725474867,25.959244242429826,0.77203369140625,1.2792752916384913,-0.2567262108150672
15_1_0,38661.653298,brake,15,5,57,"['tester', 'bra0']","[-25.576517045497894, 0.3577009439468384]","[0.781005859375, 0.0]","[41.70602741797194, 40.032109826045044]","[3.238728868007436, -0.14396194556178343]",-1.0135276637844262,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,0.0012306529097259,"[[False, False, False, False]]",15.493127089721968,25.945975273179016,0.781005859375,1.6739175919268945,-0.0857152815375283
15_1_0,38661.685758,brake,15,5,57,"['tester', 'bra0']","[-25.178617417812347, 0.7374781966209412]","[0.7906494140625, 0.0]","[42.08064786043613, 40.002120583329074]","[3.2058297600387897, -0.25663417123604465]",-1.0135276637844246,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,-0.0004451294371392,"[[False, False, False, False]]",12.468489540586605,25.928153393414,0.7906494140625,2.0785272771070566,0.0855753274336527
15_1_0,38661.723388,brake,15,5,57,"['tester', 'bra0']","[-24.783134400844574, 1.1114739775657654]","[0.7999267578125, 0.0]","[42.429655492565, 39.965975563506845]","[2.5763105097815164, -0.2668159257041358]",-16.729185497626812,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,-0.0029588155448436,"[[False, False, False, False]]",10.510540786160348,25.906960954328536,0.7999267578125,2.463679929058152,-0.07381810068466
15_1_0,38661.755776,brake,15,5,57,"['tester', 'bra0']","[-24.284803330898285, 1.5780659317970276]","[0.81158447265625, 0.0]","[42.844896935512345, 39.929195396538525]","[3.5613451051153913, -0.3154474819955851]",30.41356660939825,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,-0.0029588155448436,"[[False, False, False, False]]",8.870204620393944,25.875600009575173,0.81158447265625,2.915701538973821,0.0857655652931448
15_1_0,38661.788351,brake,15,5,57,"['tester', 'bra0']","[-23.962985932826996, 1.876669704914093]","[0.819091796875, 0.0]","[43.102235995357496, 39.87477530629465]","[2.194415108790036, -0.46405807313018765]",-41.96254784733756,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,-0.0029588155448436,"[[False, False, False, False]]",8.006187565755953,25.85263458235452,0.819091796875,3.227460689062845,-0.0852732195941495
15_1_0,38661.823338,brake,15,5,57,"['tester', 'bra0']","[-23.582138001918793, 2.227518856525421]","[0.82781982421875, 0.0]","[43.39783870853095, 39.83753165359461]","[2.3469249942131705, -0.2956943745852277]",4.359044371540709,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,-0.0029588155448436,"[[False, False, False, False]]",7.24927835161277,25.822929206656745,0.82781982421875,3.560307054936338,0.0793944930618399
15_1_0,38661.855952,brake,15,5,57,"['tester', 'bra0']","[-23.16351693868637, 2.6100078225135803]","[0.83721923828125, 0.0]","[43.71391958917093, 39.78843993256374]","[2.6921029199948086, -0.4181207204535463]",10.583734771046144,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,-0.0029588155448436,"[[False, False, False, False]]",6.565700759095551,25.787119161882647,0.83721923828125,3.925479656607188,-0.0851712494332036
15_1_0,38661.890013,brake,15,5,57,"['tester', 'bra0']","[-22.74931138753891, 2.98534494638443]","[0.8465576171875, 0.0]","[44.01921731129969, 39.73927268055366]","[2.489795449850183, -0.4009738411500265]",-5.9395634348284565,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,-0.0029588155448436,"[[False, False, False, False]]",6.012847958137621,25.748576590257542,0.8465576171875,4.27994463074603,0.0815529529023501
15_1_0,38661.927452,brake,15,5,57,"['tester', 'bra0']","[-22.332363069057465, 3.3601022362709045]","[0.85565185546875, 0.0]","[44.320737024380364, 39.689820470600786]","[2.2371184016690386, -0.36690950571178516]",-6.749033043989283,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,-0.0029588155448436,"[[False, False, False, False]]",5.548030288811652,25.706709504782385,0.85565185546875,4.630916553779578,-0.0741946934523692
15_1_0,38661.958418,brake,15,5,57,"['tester', 'bra0']","[-21.801696717739105, 3.8327799439430237]","[0.8670654296875, 0.0]","[44.69761203863822, 39.643598927798664]","[3.3807241479615446, -0.4146262819117376]",36.931012928695885,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,-0.0029588155448436,"[[False, False, False, False]]",5.072103316610474,25.649136363193303,0.8670654296875,5.054013110839556,0.0897040343868147
15_1_0,38661.992667,brake,15,5,57,"['tester', 'bra0']","[-21.47375100851059, 4.1224780678749084]","[0.8739013671875, 0.0]","[44.92759047188584, 39.583984364242255]","[1.8652485658155815, -0.4835061166608836]",-44.248754191213614,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,-0.0029588155448436,"[[False, False, False, False]]",4.790066588136465,25.61114301491393,0.8739013671875,5.343606107643588,-0.081105291510859
15_1_0,38662.023895,brake,15,5,57,"['tester', 'bra0']","[-21.076435029506683, 4.471188127994537]","[0.88214111328125, 0.0]","[45.203173283636715, 39.54524382432077]","[2.4513507442785545, -0.34460295534005353]",18.768482722755152,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,-0.0029588155448436,"[[False, False, False, False]]",4.515366149614382,25.56284847080688,0.88214111328125,5.657929459315945,0.0889514259221771
15_1_0,38662.05692,brake,15,5,57,"['tester', 'bra0']","[-20.655759751796722, 4.83767706155777]","[0.89068603515625, 0.0]","[45.49191873698212, 39.500011051083646]","[2.4286773766342518, -0.38045902288899597]",-0.686551631835563,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,-0.0029588155448436,"[[False, False, False, False]]",4.254644455446379,25.50899139851908,0.89068603515625,5.991907685898475,-0.0841112832194732
15_1_0,38662.088544,brake,15,5,57,"['tester', 'bra0']","[-20.239759385585785, 5.197420179843903]","[0.89898681640625, 0.0]","[45.77446195228892, 39.456113803300696]","[2.4817931471324943, -0.38558309958856973]",1.6796031654932015,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,-0.0029588155448436,"[[False, False, False, False]]",4.025922435043886,25.453060357056987,0.89898681640625,6.318348148988221,0.0878375641621864
15_1_0,38662.122,brake,15,5,57,"['tester', 'bra0']","[-19.828496873378754, 5.550507605075836]","[0.9072265625, 0.0]","[46.05146054440233, 39.41419066146298]","[2.2998581227317887, -0.3480785860688692]",-5.438038748665483,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,-0.0029588155448436,"[[False, False, False, False]]",3.823711394302286,25.39521467428704,0.9072265625,6.63726988293935,-0.0830277118691825
15_1_0,38662.155907,brake,15,5,57,"['tester', 'bra0']","[-19.41578859090805, 5.902339518070221]","[0.91510009765625, 0.0]","[46.32698979403683, 39.37241171516341]","[2.2572301495977385, -0.34226746282257914]",-1.25720273505416,0,-0.76172858,-0.01344007,0.67422841,0.7065780758857727,0.0,-0.0029588155448436,"[[False, False, False, False]]",3.640498075057861,25.334660430551786,0.91510009765625,6.954578078873418,0.0819233529626936
15_1_0,38662.18825,brake,15,5,57,"['tester', 'bra0']","[-19.00006479024887, 6.254255831241608]","[0.9229736328125, 0.0]","[46.6025258923384, 39.33029287935458]","[2.3664411182099205, -0.36173752014175836]",3.3766493094562007,0,-0.76172858,-0.01344007,0.67422841,0.6965780854225159,0.0,-0.0029588155448436,"[[False, False, False, False]]",3.4727050929750884,25.27118102463568,0.9229736328125,7.272233012983818,-0.0858848940658877
15_1_0,38662.221282,brake,15,5,57,"['tester', 'bra0']","[-18.569784104824066, 6.615907728672028]","[0.9307861328125, 0.0]","[46.88497192925507, 39.28489874433306]","[2.375188680018143, -0.38173534604819687]",0.2648208345964672,0,-0.80617303,0.48086928,0.85200619,0.7030971646308899,0.0,-0.0029588155448436,"[[False, False, False, False]]",3.3138749089235966,25.2028854688678,0.9307861328125,7.60007318492201,0.0548212441176492
15_1_0,38662.255694,brake,15,5,57,"['tester', 'bra0']","[-18.12267106771469, 6.988957464694977]","[0.9388427734375, 0.0]","[47.175508177911674, 39.234468064547116]","[2.345243331211475, -0.4070824759503456]",-0.8702007673456524,0,-0.80617303,0.48086928,0.85200619,0.6930971145629883,0.0,-0.0029588155448436,"[[False, False, False, False]]",3.162259373321572,25.129172555079627,0.9388427734375,7.941040113364558,-0.0807215996006287
15_1_0,38662.289679,brake,15,5,57,"['tester', 'bra0']","[-17.67358773946762, 7.360896646976471]","[0.94671630859375, 0.0]","[47.46163875052877, 39.183477768681406]","[2.3386998561582035, -0.4167712541720607]",-0.1925400927737422,0,-0.80617303,0.48086928,0.85200619,0.6830971240997314,0.0,-0.0029588155448436,"[[False, False, False, False]]",3.024160129446693,25.05237873464455,0.94671630859375,8.278160981847364,-0.0817353281898296
15_1_0,38662.320754,brake,15,5,57,"['tester', 'bra0']","[-17.17606920003891, 7.769730627536774]","[0.95526123046875, 0.0]","[47.76973217161307, 39.110604080292134]","[2.7540307597619686, -0.6514140376482123]",13.365435353744584,0,-0.80617303,0.48086928,0.85200619,0.6730971336364746,0.0,-0.0029588155448436,"[[False, False, False, False]]",2.880867399637951,24.964083260875245,0.95526123046875,8.659128091320937,-0.0893893846749815
15_1_0,38662.354896,brake,15,5,57,"['tester', 'bra0']","[-16.789855897426605, 8.084817945957184]","[0.961669921875, 0.0]","[48.00157934576702, 39.08181303382604]","[1.8862981906916778, -0.23424266030110596]",-25.41539948309547,0,-0.80617303,0.48086928,0.85200619,0.6630971431732178,0.0,-0.0029588155448436,"[[False, False, False, False]]",2.788713624715012,24.893256272600432,0.961669921875,8.919766311940982,-0.081359473052063
15_1_0,38662.386477,brake,15,5,57,"['tester', 'bra0']","[-16.375752389431, 8.420619070529938]","[0.96826171875, 0.0]","[48.24200670378203, 39.03637770017728]","[2.1147328210071015, -0.39963668067439045]",7.233293128600475,0,-0.80617303,0.48086928,0.85200619,0.6530971527099609,0.0,-0.0029588155448436,"[[False, False, False, False]]",2.693609687100268,24.815268854807154,0.96826171875,9.205629003604749,-0.0879571618513015
